City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivais,49.48,70.75,80.02,82.14,83.33,78.50,75.60,68.12,48.99,18.57,7.85,2.34,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parque das Nações,57.80,70.52,80.12,82.11,84.99,87.35,83.75,76.50,55.65,29.94,13.32,6.87,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penha de França,55.16,73.83,78.37,78.45,76.87,79.86,72.44,68.92,47.45,20.44,7.57,2.73,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,50.47,65.47,68.15,75.16,76.64,75.68,70.10,64.40,46.93,18.11,5.76,2.15,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Maria Maior,55.99,69.59,67.35,72.66,67.07,72.24,61.69,63.27,50,26.58,11.22,4.35,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo António,59.35,76.89,83.60,85.15,81.94,80.10,79.32,74.70,58.93,27.53,10.70,6.47,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Domingos de Benfica,55.54,77.67,83.60,87.59,87.53,85.03,82.43,75.67,62.99,34.12,14.63,6.37,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,55.62,77.37,80.53,75.85,76.75,75.31,69.61,71.77,44.90,22.04,8.17,3.18,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algueirão-Mem Martins,58.05,76.15,83.11,85.05,82.76,85.34,81.94,74.13,53.45,17.62,5.12,1.84,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casal de Cambra,57.59,77.57,79.41,84.95,86.73,88,79.65,72.93,49.19,22.42,5.02,1.81,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colares,52.75,73.86,84.94,85.59,82.46,81.43,81.05,72.20,56.55,25.91,8.68,3.88,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rio de Mouro,59.39,77.11,84.72,86.90,85.37,86.08,84.49,73.16,52.09,21.38,5.82,1.77,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Agualva e Mira-Sintra,54.08,75.65,82.49,82,83.11,82.77,81.77,71.79,48.72,17.66,5.45,1.19,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",55.90,80.09,85.15,85.61,88.08,83.64,81.52,77.80,53.51,20.34,6.94,3.77,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Massamá e Monte Abraão,55.33,72.52,80.91,84.49,84.27,84.72,82.91,74.91,54.65,21.24,6.42,3.52,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Queluz e Belas,56.54,75.89,81.54,80.64,81.08,82.44,79.84,74.33,51.23,20.30,6.24,1.74,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de São João das Lampas e Terrugem,54.88,77.37,82.63,85.07,87.54,84.44,82.86,76.79,49.56,22.22,7.27,1.57,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",54.41,67.87,76.43,80.28,80.36,83.73,83.48,76.10,56.70,25.94,8.23,2.50,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias do Cacém e São Marcos,61.92,78.72,84.97,86.31,86.03,86.95,85.90,75.35,50.29,19.56,3.73,1.97,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa da Caparica,44.32,71.21,73.67,73.40,74.21,73.73,69.54,61.09,42.42,13.71,2.51,0.74,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
